# ћетэастанцы€ ћ≥нск, Ѕеларусь, WMO_ID=26850, выбарка з 19.09.2014 па 26.09.2015, Ґсе дн≥
#  адоҐка: ANSI
# ≤нфармацы€ прадастаҐлена сайтам "–эальны прагноз", rp5.by 
#  ал≥ ласка, пры выкарыстанн≥ даных, спасылайцес€ на названы сайт.
# јбазначэнн€ метэапараметраҐ гл€дзець па адрасу http://rp5.by/archive.php?wmo_id=26850&lang=be
#
"ћ€сцовы час Ґ горадзе ћ≥нск";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.09.2015 15:00";"15.3";"740.0";"760.4";"0.4";"97";"¬ецер з паҐднЄвага Ґсходу";"1";"";"";"100%.";"Ќавальн≥ца (з ападкам≥ або без ≥х). ";"Ќавальн≥ца (навальн≥цы) з ападкам≥ або без ≥х.";"Ћ≥вень (л≥Ґн≥).";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"300-600";"";"";"3.4";"14.9";"";"";"";"";"";"";
"26.09.2015 12:00";"17.2";"739.6";"759.8";"-0.5";"84";"¬ецер з паҐднЄва-паҐднЄва-Ґсходу";"1";"";"";"100%.";"Ћ≥Ґневы(ы€) дождж (дажджы). ";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"200-300";"";"";"10.0";"14.4";"";"";"";"";"";"";
"26.09.2015 09:00";"15.3";"740.1";"760.5";"0.2";"81";"¬ецер з усходу";"1";"";"";"100%.";"—тан неба Ґ вогуле не зм€н≥Ґс€. ";"Ќавальн≥ца (навальн≥цы) з ападкам≥ або без ≥х.";"Ћ≥вень (л≥Ґн≥).";"14.3";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"200-300";"";"";"10.0";"12.1";"0.6";"12";"";"";"";"";
"26.09.2015 06:00";"14.8";"739.9";"760.3";"-0.7";"94";"Ўтыль, ветру н€ма";"0";"";"";"60%.";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"40%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"10.0";"13.9";"";"";"";"";"";"";
"26.09.2015 03:00";"16.2";"740.6";"760.9";"-0.8";"97";"Ўтыль, ветру н€ма";"0";"";"";"60%.";"—тан неба Ґ вогуле не зм€н≥Ґс€. ";"Ќавальн≥ца (навальн≥цы) з ападкам≥ або без ≥х.";"Ћ≥вень (л≥Ґн≥).";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"20Ц30%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"10.0";"15.7";"";"";"";"";"";"";
"26.09.2015 00:00";"17.3";"741.4";"761.6";"-0.3";"94";"Ўтыль, ветру н€ма";"0";"";"";"70 Ц 80%.";"—тан неба Ґ вогуле не зм€н≥Ґс€. ";"Ќавальн≥ца (навальн≥цы) з ападкам≥ або без ≥х.";"Ћ≥вень (л≥Ґн≥).";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"40%.";"300-600";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"10.0";"16.3";"";"";"";"";"";"";
"25.09.2015 21:00";"17.2";"741.7";"762.0";"0.1";"96";"Ўтыль, ветру н€ма";"0";"";"";"90  або больш, але не 100%";"Ќавальн≥ца слаба€ або умерана€ без града, але з дажджом ≥/або снегам у час наз≥ранн€. ";"Ќавальн≥ца (навальн≥цы) з ападкам≥ або без ≥х.";"Ћ≥вень (л≥Ґн≥).";"";"21.2";" учава-дажджавы€ валакн≥сты€ (звычайна з кавадлай), або з кучава-дажджавым≥ лысым≥, кучавым≥, сла≥стым≥, разарвана-дажджавым≥, або без ≥х.";"20Ц30%.";"300-600";"¬ысокакучавы€, празрысты€ або шчыльны€ Ґ двух або больш сла€х або высокакучавы€ шчыльны€ Ґ адным слое, не распаҐсюджаны€ па небе, або высокакучавы€ з высокасла≥стым≥ або сла≥ста-дажджавым≥.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"7.0";"16.6";"6.0";"12";"";"";"";"";
"25.09.2015 18:00";"18.7";"741.6";"761.7";"-0.9";"92";"Ўтыль, ветру н€ма";"0";"";"";"100%.";"—тан неба Ґ вогуле не зм€н≥Ґс€. ";"Ќавальн≥ца (навальн≥цы) з ападкам≥ або без ≥х.";"Ћ≥вень (л≥Ґн≥).";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"50%.";"600-1000";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"10.0";"17.4";"";"";"";"";"";"";
"25.09.2015 15:00";"20.4";"742.5";"762.5";"1.1";"82";"¬ецер з усхода-паҐднЄва-Ґсходу";"2";"";"";"100%.";"Ќавальн≥ца слаба€ або умерана€ без града, але з дажджом ≥/або снегам у час наз≥ранн€. ";"Ћ≥вень (л≥Ґн≥).";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"300-600";"";"";"10.0";"17.3";"";"";"";"";"";"";
"25.09.2015 12:00";"17.2";"741.4";"761.6";"-0.6";"93";"Ўтыль, ветру н€ма";"0";"";"";"90  або больш, але не 100%";"Ћ≥Ґневы(ы€) дождж (дажджы). ";"Ћ≥вень (л≥Ґн≥).";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"90  або больш, але не 100%";"600-1000";"";"";"10.0";"16.1";"";"";"";"";"";"";
