info,url,more,time
"""Адкрыты дыялог"" ""Навука і рэлігія"" пройдзе ў Любані",/be/news/20170111/1484126204-adkryty-dyyalog-navuka-i-religiya-proydze-u-lyubani,"Актуальная дыскусія аб'яднае больш за трыццаць чалавек - прадстаўнікоў моладзі, якая працуе і вучыцца, а таксама з прадпрыемстваў і грамадскіх арганізацый раёна.",11.01.2017
Дзесяць чалавек пацярпелі пры выбуху газу ў жылым доме ў Саратаве,/be/news/20170111/1484139753-dzesyac-chalavek-pacyarpeli-pry-vybuhu-gazu-u-zhylym-dome-u-saratave,"Пры здарэнні пацярпелі дзесяць чалавек, паведамілі ў прэс-службе Цэнтральнага рэгіянальнага цэнтра (ЦРЦ) МНС РФ.",11.01.2017
Сітуацыя па грыпе ў Беларусі спакойная,/be/news/20170111/1484137896-situacyya-pa-grype-u-belarusi-spakoynaya,"Паведаміла журналістам намеснік начальніка аддзела гігіены, эпідэміялогіі і прафілактыкі Міністэрства аховы здароўя Іна Карабан.",11.01.2017
Азербайджан прадставіць у Мінску творчасць дзяцей з 37 краін,/be/news/20170111/1484123343-azerbaydzhan-pradstavic-u-minsku-tvorchasc-dzyacey-z-37-krain,"Выстава работ удзельнікаў IV Міжнароднага фестывалю дзіцячай і юнацкай выяўленчай творчасці ""Чыстыя колеры"" адкрыецца ў сталіцы 12 студзеня.",11.01.2017
Брату і пляменніку Пан Гі Муна прад'яўленыя абвінавачванні ў карупцыі,/be/news/20170111/1484141131-bratu-i-plyamenniku-pan-gi-muna-pradyaulenyya-abvinavachvanni-u-karupcyi,Амерыканскія ўлады прад'явілі брату і пляменніку былога генеральнага сакратара ААН Пан Гі Муна абвінавачванні ў змове з мэтай подкупу дзярж,11.01.2017
Уладзімір Макей абмеркаваў з паслом Нарвегіі двухбаковыя адносіны,/be/news/20170111/1484133796-uladzimir-makey-abmerkavau-z-paslom-narvegii-dvuhbakovyya-adnosiny,Аб гэтым паведамілі ў прэс-службе МЗС Беларусі.,11.01.2017
"""ТэАрт"" пачаў прыём заявак для ўдзелу ў ""Belarus Open""",/be/news/20170111/1484129883-teart-pachau-pryyom-zayavak-dlya-udzelu-u-belarus-open,"Заяўкі прымаюцца ад рэпертуарных тэатраў, незалежных тэатральных кампаній, мастакоў, якія працуюць у галіне мастацтва перформансу.",11.01.2017
Дзень культуры Беларусі ўпершыню прайшоў у сакратарыяце ШАС,/be/news/20170111/1484129068-dzen-kultury-belarusi-upershynyu-prayshou-u-sakrataryyace-shas,Мерапрыемства адбылося напярэдадні 25-годдзя ўстанаўлення беларуска-кітайскіх дыпламатычных адносін.,11.01.2017
Расійскія прыставы пачнуць выконваць рашэнні беларускіх судоў,/be/news/20170111/1484123627-rasiyskiya-prystavy-pachnuc-vykonvac-rashenni-belaruskih-sudou,Расійскія судовыя прыставы пачнуць выконваць рашэнні судоў Беларусі.,11.01.2017
Процітанкавую міну знайшлі ў Брэсце,/be/news/20170111/1484121995-procitankavuyu-minu-znayshli-u-bresce,Боепрыпас праляжаў у зямлі з часоў Вялікай Айчыннай вайны.,11.01.2017
Выкарыстанне патэнцыялу льняной галіны можа ўнесці ўклад у эканоміку,/be/news/20170111/1484122747-vykarystanne-patencyyalu-lnyanoy-galiny-mozha-unesci-uklad-u-ekanomiku,Аб гэтым заявіў прэм'ер-міністр Андрэй Кабякоў на пасяджэнні Прэзідыума Савета Міністраў.,11.01.2017
Барак Абама не змог стрымаць слёз падчас развітальнай прамовы,/be/news/20170111/1484121957-barak-abama-ne-zmog-strymac-slyoz-padchas-razvitalnay-pramovy,У сваёй прамове ён назваў расізм і эканамічную няроўнасць аднымі з галоўных пагроз для дэмакратыі ў ЗША.,11.01.2017
Падтрымка арганізацый фізкультуры і спорту падоўжана да 2020 года,/be/news/20170111/1484121677-padtrymka-arganizacyy-fizkultury-i-sportu-padouzhana-da-2020-goda,Адпаведныя змяненні зацверджаны ўказам Прэзідэнта Беларусі Аляксандра Лукашэнкі.,11.01.2017
Завершана расследаванне нападу з пісталетам у мінскім супермаркеце,/be/news/20170111/1484120377-zavershana-rassledavanne-napadu-z-pistaletam-u-minskim-supermarkece,"33-гадовы мінчанін загадзя рыхтаваўся да нападу на супермаркет, размешчаны ў Першамайскім раёне сталіцы.",11.01.2017
Тэракт у Кандагары забраў жыцці пяці дыпламатаў з ААЭ,/be/news/20170111/1484119756-terakt-u-kandagary-zabrau-zhycci-pyaci-dyplamatau-z-aae,Пра гэта паведамляюць інфармагенцтвы са спасылкай на афіцыйную заяву эмірацкіх СМІ.,11.01.2017
"Нарвежскія пракуроры: забойца Брэйвік ""небяспечны як ніколі""",/be/news/20170111/1484119417-narvezhskiya-prakurory-zaboyca-breyvik-nebyaspechny-yak-nikoli,"Пракурор Фрэдэрык Сейрсэтэд заявіў, што ўрад павінен быць гатовы да ""неймаверных учынкаў"" з боку Брэйвіка.",11.01.2017
Прэзідэнт адобрыў праект дамовы з Ганконгам аб падаткаабкладанні,/be/news/20170111/1484115247-prezident-adobryu-praekt-damovy-z-gankongam-ab-padatkaabkladanni,На правядзенне перагавораў наконт праекта пагаднення і яго падпісанне ўпаўнаважана Міністэрства па падатках і зборах.,11.01.2017
